codice esercizio,PROVINCIA,COMUNE,CATEGORIA,DENOMINAZIONE,name,operator,LOCALITA,FRAZIONE,INDIRIZZO 1,INDIRIZZO 2,CAP,TELEFONO,CELLULARE,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,N_BAGNI,oh,PERIODO_APERTURA 1,PERIODO_APERTURA 2,PERIODO_APERTURA 3,PERIODO_APERTURA 4,PERIODO_APERTURA 5,PERIODO_APERTURA 6,PERIODO_APERTURA 7,PERIODO_APERTURA 8,lat,lng
60220,TRIESTE,TRIESTE,Superior,Elisabetta di Elisabetta Acampora,Elisabetta ,Elisabetta Acampora,TRIESTE,-,Via Vettor Carpaccio,8,34143,+39 040 306226,+39 347 1886574,,bettinamail@yahoo.it,,1,2,1,"Jan 01 - Feb 13, Mar 02 - Dec 31",Jan 01 - Feb 13,Mar 02 - Dec 31,,,,,,,45.643932,13.769407
67683,TRIESTE,TRIESTE,Superior,Golden Rooms,,,TRIESTE,-,Viale Miramare,27,34135,+39 040 411620,+39 380 3121665,,goldenrooms.ts@gmail.com,https://www.facebook.com/goldenroomsts/,3,8,3,"Jul 01 - Nov 28, Dec 05 - Dec 31",Jul 01 - Nov 28,Dec 05 - Dec 31,,,,,,,45.6751048,13.7557547
56920,TRIESTE,TRIESTE,Superior,House 5 di Valentina Ruspio,House 5 ,Valentina Ruspio,TRIESTE,-,Via Giulia,5,34126,+39 040 0644872,+39 3429024030,,info@house5.it,http://www.house5.it,4,8,4,"Jan 01 - Jan 22, Jan 25 - Feb 26, Mar 01 - Dec 24, Dec 26 - Dec 31",Jan 01 - Jan 22,Jan 25 - Feb 26,Mar 01 - Dec 24,Dec 26 - Dec 31,,,,,45.6539867,13.7868766
44500,TRIESTE,TRIESTE,Superior,La Casa Dei Bassotti di Rondini Marina,La Casa Dei Bassotti ,Rondini Marina,TRIESTE,-,Via del Lazzaretto Vecchio,12,,+39 040 3220618,+39 340 5706930,,marina.peppino@hotmail.it,,1,2,1,"Mar 01 - Nov 02, Dec 07 - Dec 31",Mar 01 - Nov 02,Dec 07 - Dec 31,,,,,,,45.6456461,13.7607859
63800,TRIESTE,TRIESTE,Superior,La Cascina Nel Frutteto di  Ursula Nussdorfer,,Ursula Nussdorfer,TRIESTE,-,Via Giorgio Nicolich,4,34149,+39 333 2072876,+39 333 2072876,,unussdorfer@gmail.com,,2,4,2,"Jan 01 - Feb 04, Feb 07 - Nov 06, Nov 16 - Dec 31",Jan 01 - Feb 04,Feb 07 - Nov 06,Nov 16 - Dec 31,,,,,,45.6346561,13.8206123
42541,TRIESTE,TRIESTE,Superior,La Culla di Trieste di Giannotta Alida,La Culla di Trieste ,Giannotta Alida,-,-,Via Carlo De Marchesetti, 12/8,34100,+39 040 910579,+39 392 9649688,,daisy.2008@libero.it,http://www.laculladitrieste.it,3,6,3,"Jan 07 - Jul 01, Jul 15 - Dec 30",Jan 07 - Jul 01,Jul 15 - Dec 30,,,,,,,45.6368058,13.8308108
49404,TRIESTE,TRIESTE,Superior,La Nuvola Bianca di Zotti Monica,La Nuvola Bianca ,Zotti Monica,CONCONELLO,-,Via dei Bidischini, 2/3,34100,+39 348 3064809,+39 348 3064809,+39 040 574335,lanuvola@istrieste.it,http://www.lanuvolabianca.it,1,5,1,"Jan 01 - Jun 15, Jul 01 - Nov 10, Dec 01 - Dec 31",Jan 01 - Jun 15,Jul 01 - Nov 10,Dec 01 - Dec 31,,,,,,45.6711224,13.7933121
71760,TRIESTE,TRIESTE,Superior,La Stanza Mansarda Delle Meraviglie di Susanna Salvador,La Stanza Mansarda Delle Meraviglie ,Susanna Salvador,-,-,Via Tolmezzo,5,34100,+39 040 417838,+39 331 8975704,,susannasalvador2016@gmail.com,,1,4,1,May 16 - Dec 11,May 16 - Dec 11,,,,,,,,45.6674852,13.7637675
66980,TRIESTE,TRIESTE,Superior,Le Cupole di Trieste di Sarah Rosani,Le Cupole di Trieste ,Sarah Rosani,-,-,Piazza Sant'Antonio,6,34100,+39 328 9040130,+39 328 9040130,,sarah.rosani@gmail.com,,3,8,3,May 16 - Dec 31,May 16 - Dec 31,,,,,,,,,
71121,TRIESTE,TRIESTE,Superior,Magnolia di Renato Ressa,Magnolia ,Renato Ressa,TRIESTE,-,Viale Miramare, 229/1,34136,+39 040 44718,+39 335 6034551,,renato.ressa@libero.it,,2,3,2,May 02 - Dec 31,May 02 - Dec 31,,,,,,,,45.6751048,13.7557547
69643,TRIESTE,TRIESTE,Superior,Orme di Bora di  Daniela Frisori,,Daniela Frisori,-,-,Via Ulderico Moro, 4/1,,+39 040 421301,+39 334 8402942,,info@ormedibora.com,http://www.ormedibora.com,1,3,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.6833023,13.7593769
69980,TRIESTE,TRIESTE,Superior,Pepeu di Andrea Milio,Pepeu ,Andrea Milio,TRIESTE,-,Via della Madonna del Mare,2,34124,+39 040 4702814,+39 348 7191990,,andreamilio@yahoo.it,,1,2,1,"Mar 04 - May 12, May 22 - Jun 01, Jun 19 - Sep 15, Oct 02 - Dec 31",Mar 04 - May 12,May 22 - Jun 01,Jun 19 - Sep 15,Oct 02 - Dec 31,,,,,45.6467212,13.7682575
39360,TRIESTE,TRIESTE,Superior,Petra di Minca Giorgio,Petra ,Minca Giorgio,Trieste,-,Via Mazzini,44,34122,,+39 333 5753017,,bbpetra.trieste@yahoo.it,http://www.bedandbreakfastpetra.com,3,5,3,"Jan 01 - Jan 06, Jan 22 - Feb 14, Mar 05 - Mar 28, Apr 10 - Oct 09, Oct 29 - Nov 20, Dec 01 - Dec 31",Jan 01 - Jan 06,Jan 22 - Feb 14,Mar 05 - Mar 28,Apr 10 - Oct 09,Oct 29 - Nov 20,Dec 01 - Dec 31,,,45.650928,13.7727148
52921,TRIESTE,TRIESTE,Superior,Roses & Berries di Van Der Salm Cecile,,Salm Cecile,TREBICIANO,-,Località Cianal,38,34100,,+39 346 0389838,,cecilevandersalm@gmail.com,http://www.randbtrieste.wordpress.com,1,2,1,"Jan 01 - Feb 23, Feb 28 - Nov 20, Nov 28 - Dec 31",Jan 01 - Feb 23,Feb 28 - Nov 20,Nov 28 - Dec 31,,,,,,,
55280,TRIESTE,TRIESTE,Superior,Sotto Il Faro di  Stjepan Babic,,Stjepan Babic,BARCOLA,-,Via del Boveto,18,34136,+39 040 412586,+39 331 8144979,,sottoilfaro@gmail.com,http://www.sottoilfaro.com,3,6,3,"Jan 01 - Feb 24, Mar 17 - Nov 06, Nov 18 - Dec 31",Jan 01 - Feb 24,Mar 17 - Nov 06,Nov 18 - Dec 31,,,,,,45.6779485,13.7546381
59320,TRIESTE,TRIESTE,Superior,Suite 45 di Veronese Manilla,Suite 45 ,Veronese Manilla,TRIESTE,-,Via Commerciale,45,34135,+39 040 415282,+39 347 7892455,,suite45trieste@libero.it,,1,2,1,"Jan 01 - Jan 06, Jan 15 - Nov 06, Nov 18 - Dec 31",Jan 01 - Jan 06,Jan 15 - Nov 06,Nov 18 - Dec 31,,,,,,45.664174,13.7805949
46180,TRIESTE,TRIESTE,Superior,Tre Rose di Battelini Aisha,Tre Rose ,Battelini Aisha,-,-,Via Tommaso Grossi,16,,+39 040 302564,+39 3466215453,,info@trerosetrieste.it,http://www.trerosetrieste.it,1,4,1,"Jan 01 - Jan 10, Jan 15 - Jan 18, Jan 22 - Jan 24, Jan 29 - Jan 31, Feb 05 - Feb 07, Feb 11 - Dec 31",Jan 01 - Jan 10,Jan 15 - Jan 18,Jan 22 - Jan 24,Jan 29 - Jan 31,Feb 05 - Feb 07,Feb 11 - Dec 31,,,45.6474155,13.7751745
51420,TRIESTE,TRIESTE,Superior,Trieste Plus di Savanelli Stefano,Trieste Plus ,Savanelli Stefano,TRIESTE,-,Via Udine,12,34132,+39 340 2360894,+39 340 2360894,,info@triesteplus.com,http://WWW.TRIESTEPLUS.COM,4,7,4,"Jan 01 - Feb 15, Feb 22 - Nov 20, Nov 28 - Dec 31",Jan 01 - Feb 15,Feb 22 - Nov 20,Nov 28 - Dec 31,,,,,,45.6564829,13.774695
47260,TRIESTE,TRIESTE,Superior,Villa Albori di Piazzi Martina,Villa Albori ,Piazzi Martina,OPICINA,-,via Nazionale,41,34151,+39 040 420341,+39 393 9876562,,info@villalbori.it,http://www.villaalbori.it,3,7,3,"Jan 01 - Jan 09, Jan 16 - Feb 10, Feb 17 - Oct 11, Oct 18 - Dec 31",Jan 01 - Jan 09,Jan 16 - Feb 10,Feb 17 - Oct 11,Oct 18 - Dec 31,,,,,45.6851546,13.7853762
44180,TRIESTE,TRIESTE,Superior,Villa Fausta di Tracanelli Sergio,Villa Fausta ,Tracanelli Sergio,-,-,Salita di Gretta,5,34136,+39 040 415252,,+39 040 415252,mail@villafausta-trieste.com,http://www.villafausta-trieste.com,3,8,3,"Jan 01 - Jan 10, Jan 15 - Dec 21, Dec 28 - Dec 31",Jan 01 - Jan 10,Jan 15 - Dec 21,Dec 28 - Dec 31,,,,,,45.6648109,13.7693657
67040,TRIESTE,TRIESTE,Superior,Villa Laly di  Rachele Mase ,,,OPICINA,-,Via di Conconello,67,34151,+39 349 28888708,+39 389 5733125,,l.cicia@icloud.com,,2,5,2,"May 09 - Nov 29, Dec 07 - Dec 31",May 09 - Nov 29,Dec 07 - Dec 31,,,,,,,45.6850389,13.7914561
71643,TRIESTE,TRIESTE,Superior,Villa Moore di Marta Finzi,Villa Moore ,Marta Finzi,-,-,Via Riccardo Bazzoni,15,34124,+39 338 5640049,+39 338 5640049,,martafinzi@yahoo.it,,1,4,1,Jul 21 - Dec 31,Jul 21 - Dec 31,,,,,,,,45.6446182,13.7706252
62680,TRIESTE,TRIESTE,Superior,Villa Sisko di Ngrid Siskovic,Villa Sisko ,Ngrid Siskovic,BARCOLA,-,Via del Boveto,41,34136,+39 040 2608572,+39 331 6793456,+39 040 300298,villasisko@libero.it,,1,5,1,"Jan 01 - Feb 21, Feb 29 - Nov 20, Nov 28 - Dec 31",Jan 01 - Feb 21,Feb 29 - Nov 20,Nov 28 - Dec 31,,,,,,45.6779485,13.7546381
52640,TRIESTE,TRIESTE,Superior,Zenzero&cannella di M. Asuncion Gonzalez Herrera,,Gonzalez Herrera,TRIESTE,-,Largo della Barriera Vecchia,15,34100,+39 345 5673624,,,info@zenzerocannella.it,http://www.zenzerocannella.it,3,6,3,"Jan 01 - Jan 09, Feb 08 - Dec 31",Jan 01 - Jan 09,Feb 08 - Dec 31,,,,,,,45.6477291,13.7793377
46440,TRIESTE,TRIESTE,Superior,?tirenca di Palcich Anna,?tirenca ,Palcich Anna,PADRICIANO 260,-,sentiero padriciano,260,34100,+39 040 226554,+39 335 8354806,,info@stirenca.it,http://www.stirenca.it,3,7,2,Mar 18 - Dec 01,Mar 18 - Dec 01,,,,,,,,45.6553096,13.8361374
68200,TRIESTE,TRIESTE,Standard,03.Stanze di  Giovanna Marson,,Giovanna Marson,-,-,Viale Miramare,27,34135,+39 349 5871633,+39 349 871633,,ggiuliam@gmail.com,,2,4,2,Jul 26 - Dec 31,Jul 26 - Dec 31,,,,,,,,45.6751048,13.7557547
68800,TRIESTE,TRIESTE,Standard,A Casa di Fra di Francesca Gandolfo,A Casa di Fra ,Francesca Gandolfo,-,-,Via Giacomo Ciamician,20,34124,+39 3396009054,+39 339 6009054,,francescagandolfo@hotmail.it,,1,1,1,"Jan 01 - Jul 14, Aug 01 - Dec 23",Jan 01 - Jul 14,Aug 01 - Dec 23,,,,,,,45.6458118,13.7654118
70120,TRIESTE,TRIESTE,Standard,Ai Pucci di Corrado Russignani,Ai Pucci ,Corrado Russignani,-,-,Strada di Fiume,382,34100,,+39 327 8346125,,daisy.2008@libero.it,,1,2,1,"Mar 20 - Jun 30, Jul 10 - Dec 31",Mar 20 - Jun 30,Jul 10 - Dec 31,,,,,,,45.6369581,13.8174912
47741,TRIESTE,TRIESTE,Standard,Al Cedas di De Lindegg Maria,,Lindegg Maria,-,-,Viale Miramare, 281/2,,+39 040 410936,+39 347 9461621,+39 040 410396,mitta13@virgilio.it,,2,3,2,Apr 10 - Oct 31,Apr 10 - Oct 31,,,,,,,,45.6751048,13.7557547
53880,TRIESTE,TRIESTE,Standard,Al Cucherle di Bonelli Daniela,Al Cucherle ,Bonelli Daniela,TRIESTE,-,Via di Torre Bianca,21,34100,+39 348 4302556,+39 348 4302556,,alcucherle@gmail.com,http://www.bedandbreakfast-alcucherle-trieste.com,3,8,1,"Jan 01 - Feb 15, Feb 23 - Nov 20, Nov 27 - Dec 31",Jan 01 - Feb 15,Feb 23 - Nov 20,Nov 27 - Dec 31,,,,,,45.6528505,13.7737789
62502,TRIESTE,TRIESTE,Standard,Al Giardino Pubblico di Claudio Puja,Al Giardino Pubblico ,Claudio Puja,TRIESTE,-,Via Cologna,2,34100,,+39 331 7544936,,sunclaud@yahoo.it,,3,5,2,"Jan 09 - Jan 30, Feb 20 - Dec 22",Jan 09 - Jan 30,Feb 20 - Dec 22,,,,,,,45.6770925,13.7534166
46400,TRIESTE,TRIESTE,Standard,Al Laghetto di Carli Vaslij,Al Laghetto ,Carli Vaslij,BASOVIZZA,-,Via di Basovizza,20,,,+39 338 9043445  339 8184619,,info@beblaghetto.it,http://www.beblaghetto.it,3,6,1,Mar 01 - Dec 31,Mar 01 - Dec 31,,,,,,,,45.6836621,13.7994398
63741,TRIESTE,TRIESTE,Standard,Al Mitico Eremita di Sira Purini,Al Mitico Eremita ,Sira Purini,TRIESTE,-,Via fra' Pace da Vedano,8,34142,+39 338 5967362,+39 338 5967362,,mitico.eremita@gmail.com,,2,4,1,"Jan 01 - Jan 25, Jan 31 - Feb 29, Mar 06 - Dec 31",Jan 01 - Jan 25,Jan 31 - Feb 29,Mar 06 - Dec 31,,,,,,,
72101,TRIESTE,TRIESTE,Standard,Al Torzolon di Alessandro Zambon,Al Torzolon ,Alessandro Zambon,TRIESTE,-,Via Carbonara,4,34100,+39 349 8357784,+39 349 8357784,,cipled82@gmail.com,,1,2,1,"Aug 01 - Nov 10, Dec 01 - Dec 31",Aug 01 - Nov 10,Dec 01 - Dec 31,,,,,,,45.6402831,13.7778936
60460,TRIESTE,TRIESTE,Standard,Al Tram di Vidman Natalia,Al Tram ,Vidman Natalia,TRIESTE,-,Via XXX Ottobre,13,34122,,+39 347 6491495,,bbaltram@gmail.com,,3,4,1,"Jan 01 - Jan 31, Feb 15 - Feb 29, Mar 15 - Dec 31",Jan 01 - Jan 31,Feb 15 - Feb 29,Mar 15 - Dec 31,,,,,,45.6521561,13.7746406
51080,TRIESTE,TRIESTE,Standard,Ametista di Parise Gouvea Princy,,Gouvea Princy,TRIESTE,-,Piazza Libertà,6,34132,,+39 345 3152686,,ametistatrieste@hotmail.com,,3,8,1,"Jan 01 - Jan 05, Feb 04 - Feb 16, Mar 15 - Mar 30, Apr 15 - Oct 23, Nov 15 - Dec 31",Jan 01 - Jan 05,Feb 04 - Feb 16,Mar 15 - Mar 30,Apr 15 - Oct 23,Nov 15 - Dec 31,,,,,
54500,TRIESTE,TRIESTE,Standard,Angelo di Angelo Gaiangos,Angelo ,Angelo Gaiangos,TRIESTE,-,Via Cesare Battisti,23,34125,+39 040  2464982,+39 347 5710205,,bbangelotrieste@gmail.com,,3,7,1,"Jan 01 - Jan 06, Jan 21 - Jan 31, Feb 16 - Dec 31",Jan 01 - Jan 06,Jan 21 - Jan 31,Feb 16 - Dec 31,,,,,,45.652648,13.780283
58260,TRIESTE,TRIESTE,Standard,Antico Borgo Teresiano di  Alessandro Conte,,Alessandro Conte,TRIESTE,-,Via San Lazzaro,20,34100,+39 340 2361780,+39 340 2361780,,info@anticoborgoteresiano.it,http://WWW.ANTICOBORGOTERESIANO.IT,3,8,2,"Jan 01 - Jan 11, Feb 02 - Feb 20, Mar 01 - Dec 31",Jan 01 - Jan 11,Feb 02 - Feb 20,Mar 01 - Dec 31,,,,,,45.6526022,13.7763036
66520,TRIESTE,TRIESTE,Standard,Apartment Elisabeth di Frizzi Ingrid,Apartment Elisabeth ,Frizzi Ingrid,TRIESTE,-,Vicolo dei Gattorno,2,34100,,+39 338 9270803,,elisabethf116@gmail.com,,2,5,1,Mar 18 - Dec 31,Mar 18 - Dec 31,,,,,,,,45.660717,13.7744426
67482,TRIESTE,TRIESTE,Standard,Art&breakfast Atelier di Giorgio Schumann,Art&breakfast Atelier ,Giorgio Schumann,-,-,Salita alla Madonna di Gretta,19,,+39 040 416243,+39 339 6379366,,giorgio.schumann@alice.it,,2,3,1,Jul 15 - Nov 15,Jul 15 - Nov 15,,,,,,,,45.6682459,13.7623685
65200,TRIESTE,TRIESTE,Standard,Atema di Manuela Tommasini,Atema ,Manuela Tommasini,TRIESTE,-,Via Amerigo Vespucci, 4/1,34100,+39 346 3025822,+39 346 3025822,,tommasinimanuela@live.com,,1,2,1,"Jan 01 - Feb 07, Feb 15 - Jun 25, Jul 02 - Dec 31",Jan 01 - Feb 07,Feb 15 - Jun 25,Jul 02 - Dec 31,,,,,,45.6419284,13.7783373
52600,TRIESTE,TRIESTE,Standard,Barcolana Gold di Viva Donatella,Barcolana Gold ,Viva Donatella,TRIESTE,-,Via Armando Diaz,19,34100,,+39 338 1584365,,barcolanagold@gmail.com,,2,6,1,"Jan 01 - Jan 30, Feb 02 - Feb 28, Mar 03 - Mar 28, Apr 01 - Apr 30, May 01 - May 23, May 26 - Jun 30, Jul 01 - Jul 30",Jan 01 - Jan 30,Feb 02 - Feb 28,Mar 03 - Mar 28,Apr 01 - Apr 30,May 01 - May 23,May 26 - Jun 30,Jul 01 - Jul 30,Aug 01 - Dec 31,45.6478105,13.7647034
72067,TRIESTE,TRIESTE,Standard,Bloom S Room di  Mariangela Vella,,Mariangela Vella,-,-,Via Paolo Diacono,5,34137,+39 388 8690423,+39 388 8690423,,bloomsroom2017@gmail.com,,1,2,1,"Aug 11 - Nov 12, Nov 20 - Dec 31",Aug 11 - Nov 12,Nov 20 - Dec 31,,,,,,,45.6443664,13.7778265
63900,TRIESTE,TRIESTE,Standard,Blu&blu di Alessandra Prinz,Blu&blu ,Alessandra Prinz,TRIESTE,-,Via Giulia,5,34126,+39 349 3448631,+39 349 3448631,,prinzalessandra@gmail.com,,4,8,2,"Jan 01 - Jan 23, Feb 01 - Feb 20, Mar 01 - Nov 19, Nov 26 - Dec 31",Jan 01 - Jan 23,Feb 01 - Feb 20,Mar 01 - Nov 19,Nov 26 - Dec 31,,,,,45.6539867,13.7868766
47080,TRIESTE,TRIESTE,Standard,Brass di Romich Giovanni,Brass ,Romich Giovanni,-,-,Via San Maurizio,5,34100,+39 040 639517,+39 366 4068685,,brass@bedandbreakfast-trieste.com,http://www.bedandbreakfast-trieste.com,4,8,2,"Jan 01 - Jan 08, Jan 09 - Feb 22, Mar 02 - Nov 22, Nov 23 - Dec 31",Jan 01 - Jan 08,Jan 09 - Feb 22,Mar 02 - Nov 22,Nov 23 - Dec 31,,,,,45.6496139,13.7801743
71803,TRIESTE,TRIESTE,Standard,Caccia di Iulia Daniela Negrui,,Daniela Negrui,-,-,Via Acacie,10,34129,+39 327 3696434,+39 327 3696434,,daniela.negrui@gmail.com,,1,2,1,"Jul 01 - Nov 05, Dec 01 - Dec 31",Jul 01 - Nov 05,Dec 01 - Dec 31,,,,,,,,
66800,TRIESTE,TRIESTE,Standard,Carsia B&B di Zef Gurasiu,Carsia B&B ,Zef Gurasiu,OPICINA,-,Via Carsia, 34/7,34151,+39 348 3145904,+39 348 3145904,,guraziuzef@gmail.com,,3,4,1,"May 02 - Nov 15, Dec 01 - Dec 31",May 02 - Nov 15,Dec 01 - Dec 31,,,,,,,45.6874666,13.7757213
69644,TRIESTE,TRIESTE,Standard,Casa Liberty di Franca Stefani,Casa Liberty ,Franca Stefani,-,-,Via Commerciale,40,34135,+39 040 2410211,+39 339 5466652,,franca.natur@gmail.com,,1,2,1,"Jan 21 - Feb 10, Feb 27 - Jul 03, Jul 16 - Dec 15",Jan 21 - Feb 10,Feb 27 - Jul 03,Jul 16 - Dec 15,,,,,,45.664174,13.7805949
68620,TRIESTE,TRIESTE,Standard,Casa Murat di Dante Grassi,Casa Murat ,Dante Grassi,TRIESTE,-,Via Muratte,6,34023,+39 340 0645810,+39 340 0645810,,dantecostante45@gmail.com,,1,2,1,"Sep 27 - Oct 19, Nov 18 - Dec 31",Sep 27 - Oct 19,Nov 18 - Dec 31,,,,,,,,
71642,TRIESTE,TRIESTE,Standard,Casaldina di Alessandro Gilardoni,Casaldina ,Alessandro Gilardoni,-,-,Via Imbriani,1,34122,+39 347 2529617,+39 347 2529617,,agilar61@gmail.com,,1,3,1,Jul 17 - Dec 31,Jul 17 - Dec 31,,,,,,,,,
62260,TRIESTE,TRIESTE,Standard,Cassio di Beatrice Vecchiet,Cassio ,Beatrice Vecchiet,TRIESTE,-,Via dell'Eremo, 241/3,34142,+39 347 9257093,+39 347 9257093,,cassioinfo@bebcassio.com,,2,4,1,"Jan 01 - Jan 14, Jan 18 - Jan 21, Jan 25 - Jan 28, Feb 01 - Apr 13, Apr 18 - Nov 17, Nov 21 - Dec 31",Jan 01 - Jan 14,Jan 18 - Jan 21,Jan 25 - Jan 28,Feb 01 - Apr 13,Apr 18 - Nov 17,Nov 21 - Dec 31,,,,
41481,TRIESTE,TRIESTE,Standard,Cattinara di Sav Marjanca,Cattinara ,Sav Marjanca,TRIESTE,-,Strada di Fiume,555,34100,+39 040 910557,+39 338 1509385,,,,3,6,1,"Jan 01 - Aug 20, Sep 01 - Dec 20",Jan 01 - Aug 20,Sep 01 - Dec 20,,,,,,,45.6369581,13.8174912
66280,TRIESTE,TRIESTE,Standard,Cerino di Silvia Cerino,Cerino ,Silvia Cerino,TRIESTE,-,Via Filippo Corridoni,12,34131,,+39 347 7309629,,cerisil@libero.it,,2,6,1,Mar 01 - Dec 31,Mar 01 - Dec 31,,,,,,,,45.6457673,13.7792347
52560,TRIESTE,TRIESTE,Standard,Chiara di Lorenzo Meula,Chiara ,Lorenzo Meula,TRIESTE,-,Via al Cisternone,9,34100,,+39 339 6801149,,chiarabeb@libero.it,,3,6,2,Jan 11 - Dec 22,Jan 11 - Dec 22,,,,,,,,45.6682535,13.7688428
56840,TRIESTE,TRIESTE,Standard,Colors di Michela Coslan,Colors ,Michela Coslan,TRIESTE,-,Via Vittoria Colonna,4,34124,+39 040 311716,+39 347 9827914,,marco.nordio@gmail.com,,2,4,1,Jan 15 - Dec 15,Jan 15 - Dec 15,,,,,,,,45.6467985,13.7668363
72420,TRIESTE,TRIESTE,Standard,Da Noi di Margherita Fonda,Da Noi ,Margherita Fonda,TRIESTE,-,Via Cadorna,13,34124,+39 348 2423988,+39 348 2423988,,punticinzia@libero.it,,3,8,1,Aug 01 - Dec 31,Aug 01 - Dec 31,,,,,,,,,
70622,TRIESTE,TRIESTE,Standard,Da Selene di Selene Simonic,Da Selene ,Selene Simonic,TRIESTE,-,Scala al Monticello,4,34126,+39 346 9566860,+39 346 9566860,,,,1,2,1,"Apr 30 - Aug 31, Oct 01 - Dec 31",Apr 30 - Aug 31,Oct 01 - Dec 31,,,,,,,45.6556639,13.7951283
72102,TRIESTE,TRIESTE,Standard,Da Thais Un Piacevole Relax di Thais Virginia Castellanos Escandon,,Castellanos Escandon,TRIESTE,-,Via Carlo Antoni,24,34128,+39 040 572932,+39 331 3150125,,virginia777.tc@gmail.com,,3,5,1,Aug 02 - Dec 20,Aug 02 - Dec 20,,,,,,,,45.6532018,13.8051624
69982,TRIESTE,TRIESTE,Standard,Dai Muli di Alessandra Chiurco,Dai Muli ,Alessandra Chiurco,-,-,Via Trento,15,34132,,+39 331 1257035,,alessandrachiurco@gmail.com,,4,8,2,"Mar 13 - Dec 11, Dec 20 - Dec 31",Mar 13 - Dec 11,Dec 20 - Dec 31,,,,,,,45.6551294,13.7724984
67360,TRIESTE,TRIESTE,Standard,Dream 22 di Elvio Tonsi,Dream 22 ,Elvio Tonsi,TRIESTE,-,Via San Primo,24,34126,+39 040 569946,+39 345 4143530,,elvio.tonsi@gmail.com,,2,6,1,"Jun 15 - Oct 31, Nov 15 - Dec 31",Jun 15 - Oct 31,Nov 15 - Dec 31,,,,,,,45.655513,13.7991231
69642,TRIESTE,TRIESTE,Standard,Esperia di Stefania Trevisan,Esperia ,Stefania Trevisan,-,-,Strada del Friuli,177,34136,,+39 349 0895717,,stefania1928@hotmail.it,,2,4,2,"Jan 01 - Jan 14, Feb 01 - Feb 12, Mar 01 - Oct 14, Oct 26 - Nov 04, Nov 26 - Dec 31",Jan 01 - Jan 14,Feb 01 - Feb 12,Mar 01 - Oct 14,Oct 26 - Nov 04,Nov 26 - Dec 31,,,,45.6869235,13.7524281
48641,TRIESTE,TRIESTE,Standard,Family Life di De Feno Marina,,Feno Marina,-,-,Largo a Roiano, 3/4,34135,,+39 393 7035235,,mdf@familylifetrieste.it,http://www.familylifetrieste.it,1,2,1,"Jan 01 - Jan 11, Jan 29 - Feb 15, Mar 04 - Dec 31",Jan 01 - Jan 11,Jan 29 - Feb 15,Mar 04 - Dec 31,,,,,,45.6632889,13.7699013
71644,TRIESTE,TRIESTE,Standard,Gatteri di Graziella Vocca,Gatteri ,Graziella Vocca,-,-,Via Giorgio Gatteri,13,34129,+39 040 368113,+39 320 3456297,,graziella.vocca@gmail.com,,2,6,1,"Jul 22 - Oct 29, Nov 19 - Dec 31",Jul 22 - Oct 29,Nov 19 - Dec 31,,,,,,,,
71222,TRIESTE,TRIESTE,Standard,Gelsomina di Jasmin Lamprecht,Gelsomina ,Jasmin Lamprecht,-,-,Via Sant'Apollinare,2,34131,+39 348 2744530,+39 348 2744530,,jasmin.lamprecht@hotmail.it,,1,1,1,Jul 15 - Dec 31,Jul 15 - Dec 31,,,,,,,,,
55821,TRIESTE,TRIESTE,Standard,Gens Julia di Davide Dell Agata,,Dell Agata,TRIESTE,-,Via San Michele,7,34124,,+39 340 6056039,,gensjuliats@virgilio.it,,3,6,2,"Jan 01 - Jan 17, Jan 24 - Feb 24, Mar 03 - Dec 31",Jan 01 - Jan 17,Jan 24 - Feb 24,Mar 03 - Dec 31,,,,,,45.6458859,13.7703024
61640,TRIESTE,TRIESTE,Standard,Giardini di Gregoris Carla,Giardini ,Gregoris Carla,TRIESTE,-,Via dei Giardini, 21/1,34100,,+39 333 7575533,,gregoris.carla@tiscali.it,,2,5,1,"Jan 01 - Jan 10, Mar 01 - Dec 31",Jan 01 - Jan 10,Mar 01 - Dec 31,,,,,,,45.6227437,13.7820848
62701,TRIESTE,TRIESTE,Standard,Grignetti Bed di Marco Grignetti,Grignetti Bed ,Marco Grignetti,-,-,Via Rosset, 7/1,34126,+39 347 2526570,+39 347 2526570,,marco.grignetti@libero.it,,2,5,2,"Jan 01 - Feb 05, Feb 14 - Nov 06, Nov 14 - Dec 31",Jan 01 - Feb 05,Feb 14 - Nov 06,Nov 14 - Dec 31,,,,,,,
45100,TRIESTE,TRIESTE,Standard,Grim di Zamarin Giuliano,Grim ,Zamarin Giuliano,-,-,Via Pasquale Revoltella,87,34100,+39 040 0642236,+39 349 4181357,,info@bedandbreakfastgrim.it,http://www.bedandbreakfastgrim.it,4,7,3,"Jan 10 - Jul 31, Aug 15 - Dec 25",Jan 10 - Jul 31,Aug 15 - Dec 25,,,,,,,45.6419375,13.8021821
62501,TRIESTE,TRIESTE,Standard,Guerrero di Marcela Esther De Bernardis,,De Bernardis,TRIESTE,-,Largo Sidney Sonnino,9,34139,+39 040 2415605,+39 329 0427035,,debernardisme@hotmail.com,,2,5,1,"Jan 01 - Feb 14, Feb 29 - Dec 31",Jan 01 - Feb 14,Feb 29 - Dec 31,,,,,,,45.6447874,13.7818225
